product,definition
alos_palsar_mosaic,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/alos_palsar_mosaic.odc-product.yaml
crop_mask_eastern,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/crop_mask_eastern.odc-product.yaml
crop_mask_western,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/crop_mask_western.odc-product.yaml
crop_mask_northern,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/crop_mask_northern.odc-product.yaml
crop_mask_sahel,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/crop_mask_sahel.odc-product.yaml
crop_mask_southern,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/crop_mask_southern.odc-product.yaml
nasadem,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/nasadem.odc-product.yaml
dem_cop_30,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/dem_cop_30.odc-product.yaml
dem_cop_90,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/dem_cop_90.odc-product.yaml
dem_srtm,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/dem_srtm.odc-product.yaml
dem_srtm_deriv,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/dem_srtm_deriv.odc-product.yaml
nasadem,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/nasadem.odc-product.yaml
io_lulc,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/io_lulc.odc-product.yaml
gm_s2_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_s2_annual.odc-product.yaml
gm_s2_annual_lowres,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_s2_annual_lowres.odc-product.yaml
gm_s2_semiannual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_s2_semiannual.odc-product.yaml
gm_s2_semiannual_lowres,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_s2_semiannual_lowres.odc-product.yaml
gm_ls8_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_ls8_annual.odc-product.yaml
gm_ls8_annual_lowres,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_ls8_annual_lowres.odc-product.yaml
gm_ls5_ls7_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_ls5_ls7_annual.odc-product.yaml
gm_ls5_ls7_annual_lowres,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_ls5_ls7_annual_lowres.odc-product.yaml
jers_sar_mosaic,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/jers_sar_mosaic.odc-product.yaml
ls5_sr,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/ls5_sr.odc-product.yaml
ls5_st,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/ls5_st.odc-product.yaml
ls7_sr,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/ls7_sr.odc-product.yaml
ls7_st,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/ls7_st.odc-product.yaml
ls8_sr,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/ls8_sr.odc-product.yaml
ls8_st,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/ls8_st.odc-product.yaml
pc_s2_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/pc_s2_annual.odc-product.yaml
s1_rtc,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/esa_s1_rtc.odc-product.yaml
s2_l2a,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/esa_s2_l2a.odc-product.yaml
wofs_ls,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/wofs_ls.odc-product.yaml
wofs_ls_summary_alltime,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/wofs_ls_summary_alltime.odc-product.yaml
wofs_ls_summary_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/wofs_ls_summary_annual.odc-product.yaml
fc_ls,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/fc_ls.odc-product.yaml
fc_ls_summary_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/fc_ls_summary_annual.odc-product.yaml
rainfall_chirps_monthly,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/rainfall_chirps_monthly.odc-product.yaml
rainfall_chirps_daily,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/rainfall_chirps_daily.odc-product.yaml
gmw,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gmw.odc-product.yaml
esa_worldcover,https://raw.githubusercontent.com/opendatacube/datacube-dataset-config/main/products/esa_worldcover.odc-product.yaml
cgls_landcover,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/cgls_landcover.odc-product.yaml
cci_landcover,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/cci_landcover.odc-product.yaml
